, i
i, and
idleness, and
idol, hath
if, ye
image, hath
imaginations, of
immovable, in
in, the
inasmuch, as
inhabit, the
inhabitants, and
inhabited, and
inherit, the
inheritance, and
iniquities, wherefore
iniquity, yea
inquire, of
inquired, of
insomuch, that
instruct, me
instructed, of
instruction, of
intent, is
interpretation, thereof-for
interpreted, is
into, the
iron, sinew
irreantum, which
is, amen
isaac, and
isaiah, for
ishmael, but
isles, of
israel, if
israel-and, this
it, is
its, much
itself, abroad
jacob, and
jeremiah, have
jerusalem, yea
jerusalem-that, it
jew, the
jews, also
jews-, that
jews-even, a
john, according
joints, are
jordan, he
joseph, also
journey, in
journeyed, in
journeying, they
journeyings, in
joy, and
joyful, o
joyous, to
judah, or
judge, him
judged, them
judgment, in
judgments, of
judgmentseat, of
just, and
justice, of
justified, and
keep, the
keeping, in
kept, for
keys, of
kill, laban
kind, both
kindness, and
kindred, tongue
kindreds, tongues
king, and
kingdom, of
kingdoms, of
kings, shall
knew, that
knewest, not
know, him
knowest, concerning
knoweth, save
knowing, that
knowledge, of
known, of
laban, and
labor, from
labored, in
lacking, in
laden, with
laid, the
laman, and
lamb, was
lamb-i, will
land, and
lands, of
language, did
large, and
last, day
latchet, i
later, will
latter, days
law, of
lawful, captives
lay, their
lead, them
leadeth, thee
leading, them
learned, by
learning, wherefore
leave, me
led, up
left, alone
lehi, had
lemuel, did
lest, thou
let, us
lick, up
lie, low
lies, unto
life, wherefore
lift, up
lifted, up
light, to
lightnings, of
like, unto
liken, them
likened, unto
linen, and
listen, o
little, way
live, saith
lives, also
liveth, and
living, god
lo, these
loading, and
loathsome, and
loins, and
long, and
longsuffering, towards
look, unto
looked, and
loose, me
loosed, for
lord, your
lord-, yea
lord-that, formed
lose, their
loss, of
lost, from
lot, fell
lots-who, of
loud, voice
love, of
loved, him
loveth, those
loving, kindness
low, in
lowliness, of
lust, after
luster, was
lusts, of
made, known
make, an
maketh, no
making, known
male, and
man, must
manifest, unto
manifested, in
mankind, were
manna, in
manner, of
many, years
marvelous, work
master, laban
matchless, power
mattereth, not
may, dwell
mayest, say
me, him
me-but, he
mean, the
meaneth, that
meaning, of
means, for
meat, from
meet, their
men, which
mention, of
mercies, and
merciful, to
mercy, upon
merry, insomuch
messiah, come
methought, i
midst, of
might, and
mightest, be
mightier, than
mighty, one
mind, swallowed
minds, and
mine, hand
minister, unto
ministered, unto
ministering, unto
ministers, whom
ministry, and
miracles, among
mist, of
mists, of
mixture, of
mock, him
mocking, and
molten, image
more, power
morning, and
morrow, after
moses, spake
most, fertile
mother, hath
mothers, they
mount, oft
mountain, and
mountains, for
mourn, exceedingly
mourned, because
mouth, like
move, the
much, nourishment
multitude, of
multitudes, upon
murderers, in
murmur, against
murmured, and
murmuring, against
murmurings, and
must, be
my, father
myself, for
mysteries, of
nahom, and
name, and
names, sake
narrow, by
nation, which
nations, kindreds
natural, branch
nature, suffers
naught, and
nay, behold
nazareth, i
near, unto
nearer, the
nearly, unto
neck, is
need, not
needs, be
neither, shall
nephi, make
neum, and
never, perish
nevertheless, after
new, things
night, and
no, power
noises, and
none, of
noonday, and
nor, the
north, and
not, suppose
nothing, save
notwithstanding, he
nourish, them
nourished, by
nourishment, were
now, i
number, them
numbered, among
numbereth, his
numberless, concourses
numbers, were
nursed, by
nursing, mothers
o, house
oath, unto
obedient, to
obey, the
obliged, to
obscurity, and
obstinate, and
obtain, these
obtained, food
obtaining, power
occupy, these
of, god
off, from
offer, sacrifice
offering, unto
offerings, unto
offspring, of
oft, unto
old, and
olivetree, and
on, even
one, of
ones, that
only, ones
open, and
opened, for
opening, of
oppress, thee
or, later
ordained, the
ore, that
ornament, and
other, lands
other-either, to
others, with
ought, and
our, seed
ourselves, and
out, upon
over, the
overcome, because
overpower, them
overtake, us
own, blood
ox, and
pacified, and
pained, i
palms, of
parent, that
parents, being
part, of
partake, of
partaken, of
partaking, of
particular, to
particularly, made
partook, not
parts, of
pass, that
passed, through
past, feeling
pastors, of
pasture, and
pastures, shall
path, did
paths, of
peace, saith
people, shall
perform, was
perhaps, i
period, that
perish, for
perished, also
perishing, with
persuade, them
pertaining, to
pervert, the
perverted, the
pharaoh, and
pieces, and
pillar, of
pit, which
pitch, our
pitched, his
place, to
places, and
plain, and
plainly, of
plainness, which
plains, of
plant, seeds
plates, of
plead, with
pleasing, unto
pleasure, on
plenty, of
point, the
pointed, the
pointers, which
pointing, to
points, of
polished, shaft
polluted, and
pondering, in
popular, in
possess, the
possessed, that
possessions, and
possible, that
poured, out
power, over
powerful, was
praise, will
praising, of
pray, oft
prayed, the
prayers, and
praying, unto
preach, unto
preached, among
precious, parts
preparator, of
prepare, a
prepared, of
prepareth, a
preparing, the
presence, and
present, time
preserve, the
preserved, even
press, their
pressing, forward
prey, of
pride, of
princes, also
prison, and
prisoners, go
probation, wherefore
proceed, to
proceeded, out
proceedeth, out
proceeding, out
proceedings, in
profit, who
promise, as
promised, land
property, and
prophecies, the
prophesied, concerning
prophesy, and
prophesying, concerning
prophet, and
prophets, which
prosper, in
prosperous, come
protected, my
proud, and
provide, means
provisions, and
publish, peace
pure, and
purity, according
purpose, i
purposes, are
pursue, us
put, all
quake, they
quaking, thereof
quarters, of
queens, thy
quench, their
quiver, hath
raise, up
raiseth, up
ran, along
raw, meat
read, are
reason, of
rebel, against
rebellion, they
receive, they
received, a
record, upon
records, of
red, sea
redeemed, his
redeemer, the
redemption, of
reed, and
refined, thee
refrain, from
rehearse, unto
reign, in
reigneth, and
rejected, every
rejecting, signs
rejoice, over
rejoiced, when
rely, on
remain, in
remainder, of
remember, the
remembered, the
rememberest, thou
remembrance, and
remnant, of
remnants, of
removing, to
rend, and
rent, with
repent, and
repented, of
repenteth, not
representation, of
required, it
rest, ourselves
restoration, of
restore, the
restored, they
return, again
returned, to
revile, against
reviled, against
riches, and
right, ways
righteous, must
righteousness, and
ripe, in
ripeness, and
rise, from
river, and
roads, that
robber, and
robe, and
rock, also
rocks, of
rod, for
room, that
rough, places
round, about
rudeness, and
ruler, over
rulers, kings
ruleth, high
rumors, of
running, into
sacred, and
sacrifice, and
safely, in
said, unto
said-if, ye
sailed, for
saints, of
saith, the
sake, will
sakes, he
salvation, have
sam, and
same, course
sand, the
sariah, and
sat, upon
satan, has
save, that
saved, at
savior, and
saw, that
say, unto
say-behold, i
say-mine, idol
saying, a
says, that
scarlets, and
scattered, the
scattering, them
scoffing, at
scorn, at
scourge, him
scourged, by
scriptures, unto
sea, and
sealed, up
search, them
searched, them
seashore, and
secret, from
see, and
seed, shall
seed-, and
seeds, into
seeing, i
seek, the
seeketh, shall
seen, and
seest, all
seest-because, of
seize, upon
sent, him
separated, the
sepulchre, according
serpents, among
servant, for
servants, of
set, them
shadow, of
shaft, in
shake, them
shaken, us
shall, be
shalt, know
sharp, sword
shazer, and
she, should
sheath, thereof
shed, the
sheddeth, itself
sheep, and
shepherd, and
ship, that
shock, them
shoes, latchet
shore, of
short, in
shortly, come
should, consider
shoulders, and
shouldst, be
show, that
showed, thee
shown, unto
shrunk, and
sick, and
sickbeds, because
side, of
sight, of
sign, given
signs, and
silks, and
silver, and
simpleness, of
since, they
sinew, and
sing, o
singing, o
sinim, sing
sins, insomuch
sit, in
sitting, upon
six, hundred
skins, of
slain, and
slaughters, with
slay, our
slayeth, the
slaying, food
sling, and
slings, and
slow, to
small, voice
smite, them
smitten, no
smoke, must
smooth, places
smote, the
snow, and
so, be
soberness, but
soften, their
sojourn, for
sold, into
some, with
somewhat, of
son, of
sons, in
soon, cometh
sooner, or
sore, and
soreness, thereof
sorrow, into
sorrowful, they
sought, to
soul, others
souls, of
southsoutheast, direction
space, of
spacious, building
spake, was
spanned, the
spare, his
speak, further
speakest, hard
speaketh, with
speaking, to
special, purpose
speedily, that
spent, my
spindles, and
spirit, are
spirits, were
spiritual, for
spiritually, according
spit, upon
spoken, are
springs, of
stall, and
stand, up
standard, and
standeth, one
stars, in
state, of
stature, and
statutes, and
stay, themselves
steadfast, and
steel, and
steer, the
stick, an
stiffneckedness, of
still, small
stir, up
stoned, and
stones, together
stood, before
storm, did
straight, stick
strait, for
straiten, them
straitened, them
strange, wilderness
strength, and
strengthen, them
stretch, forth
stretched, forth
stricken, in
strive, to
striving, to
strong, yea
stubble, and
stumble, exceedingly
stumbling, blocks-
such, great
suck, for
sucking, child
suddenly, and
suffer, that
suffered, much
suffereth, it
sufferings, we
suffers, and
sufficeth, me
sun, smite
sunk, and
suppose, that
supposed, that
supposing, that
surely, prepare
surety, that
surrounded, with
swallowed, thee
swear, not
sweet, wine
swift, to
swollen, and
sword, of
take, me
taken, away
taketh, the
taking, away
talked, with
tarried, in
tarry, for
tasks, which
tasted, thou
taught, them
teach, my
teacher, who
teacheth, thee
tears, and
tell, this
telling, him
tells, us
tempest, by
temporal, for
temporally, and
temptations, and
tender, parent
tens, of
tent, door
tents, and
terrible, shall
testified, and
testify, that
than, they
thanks, unto
that, have
the, last
thee, o
their, hearts
them, wherefore
themselves, and
then, shalt
there, shall
therefore, they
thereof, his
thereof-for, i
these, things
they, testify
thine, heart
thing, that
things, which
things-, and
think, it
thinketh, that
thinking, perhaps
thirst, neither
thirsted, not
this, is
thither, yea
those, who
thou, shalt
thought, to
thousands, therefore
threatened, them
threatenings, against
three, days
throne, and
through, the
throw, me
thrust, us
thunder, which
thunderings, and
thus, it
thy, seed
tidings, of
till, the
timbers, after
time, cometh
times, to
to, the
today, and
together, to
toiled, being
told, me
tongue, and
tongues, and
too, strait
took, the
tools, of
top, of
torment, of
tortureth, them
touch, me
towards, the
trample, under
transgressor, from
transpired, before
travel, and
traveled, for
traveling, nearly
treacherously, and
treasury, and
treat, me
tree, of
tremble, and
tribes, have
true, and
truly, chastened
truth, nor
tumble, to
tumbling, into
tumultuous, noises
turn, upon
turned, one
twelve, apostles
two, sons
unavoidably, come
unbelief, yea
unclean, thing
under, their
understand, the
understanding, concerning
understood, according
unfolded, unto
unless, he
unloose, and
until, further
unto, you
up, as
upon, the
uprightly, before
us, in
use, of
utter, to
utterly, destroy
vain, surely
valley, which
vapor, of
very, treacherously
view, wandering
vine, yea
virgin, again
virgins, and
vision, and
visionary, man
visions, and
visit, all
visited, them
visiting, of
voice, of
wade, through
wait, for
walk, in
walls, are
wander, in
wandered, in
wandering, in
want, of
war, against
wars, and
was, the
wast, called
waste, and
water, shall
waters, gushed
watery, grave
waves, of
way, for
ways, of
we, know
weak, for
weakness, which
weary, me
well, as
went, forth
were, manifest
west, and
what, meaneth
whatsoever, he
when, thou
whence, it
where, have
whereby, they
wherefore, if
wherewith, to
which, have
while, we
whit, and
white, robe
whiteness, of
whither, they
who, must
whole, heart
whom, moses
whore, who
whose, fruit
whoso, shall
why, is
wicked, shall
wickedly, shall
wickedness, of
wife, with
wild, animals
wilderness, by
will, repent
willing, to
wilt, thou
wind, for
winds, did
wine, and
wisdom, thereof
wise, purposes
with, their
wither, before
withhold, their
within, the
without, murmurings
witness, and
witnessed, him
wives, began
wo, be
woman, forget
womb, yea
women, have
wonders, and
wood, a
word, which
words, of
words-they, set
work, among
worketh, many
workings, in
workmanship, thereof
works, have
world, and
worship, because
worth, unto
worthy, to
would, that
wouldst, deal
wrath, must
wrist, and
write, anything
writing, which
written, upon
wroth, and
wrought, upon
ye, shall
yea, in
year, there
years, for
yesterday, today
yet, concerning
yieldeth, himself
yoke, of
yoketh, them
you, that
young, having
younger, brother
your, god
yourselves, they
zedekiah, and
zenock, and
zenos, from
zion, shall
zoram, took
